date,ticker,adjusted_close
2024-04-11,BND1,142.0952
2024-04-12,BND1,142.5556
2024-04-15,BND1,142.5431
2024-04-16,BND1,142.0772
2024-04-17,BND1,141.8744
2024-04-18,BND1,142.0341
2024-04-19,BND1,142.3132
2024-04-22,BND1,142.657
2024-04-23,BND1,143.3388
2024-04-24,BND1,143.2787
2024-04-25,BND1,143.8063
2024-04-26,BND1,144.3728
2024-04-29,BND1,144.4688
2024-04-30,BND1,144.5402
2024-05-01,BND1,144.8282
2024-05-02,BND1,144.0663
2024-05-03,BND1,144.3362
2024-05-06,BND1,144.4452
2024-05-07,BND1,144.4683
2024-05-08,BND1,144.7292
2024-05-09,BND1,144.6895
2024-05-10,BND1,144.8183
2024-05-13,BND1,144.9478
2024-05-14,BND1,144.6732
2024-05-15,BND1,144.8523
2024-05-16,BND1,144.3918
2024-05-17,BND1,143.958
2024-05-20,BND1,143.9785
2024-05-21,BND1,144.6279
2024-05-22,BND1,145.1497
2024-05-23,BND1,144.9624
2024-05-24,BND1,144.5084
2024-05-27,BND1,143.7509
2024-05-28,BND1,143.8208
2024-05-29,BND1,144.0599
2024-05-30,BND1,144.4061
2024-05-31,BND1,144.024
2024-06-03,BND1,144.4782
2024-06-04,BND1,144.6488
2024-06-05,BND1,144.1633
2024-06-06,BND1,144.0465
2024-06-07,BND1,144.0364
2024-06-10,BND1,144.2456
2024-06-11,BND1,144.2762
2024-06-12,BND1,144.1933
2024-06-13,BND1,144.5696
2024-06-14,BND1,143.8045
2024-06-17,BND1,143.4699
2024-06-18,BND1,143.6551
2024-06-19,BND1,144.0517
2024-06-20,BND1,144.0126
2024-06-21,BND1,144.725
2024-06-24,BND1,144.3777
2024-06-25,BND1,144.5559
2024-06-26,BND1,143.8641
2024-06-27,BND1,143.8664
2024-06-28,BND1,143.1582
2024-07-01,BND1,143.4774
2024-07-02,BND1,142.968
2024-07-03,BND1,142.2278
2024-07-04,BND1,142.8245
2024-07-05,BND1,143.042
2024-07-08,BND1,143.2428
2024-07-09,BND1,143.0156
2024-07-10,BND1,142.8418
2024-07-11,BND1,142.3917
2024-07-12,BND1,142.625
2024-07-15,BND1,143.3411
2024-07-16,BND1,143.3906
2024-07-17,BND1,143.7283
2024-07-18,BND1,144.4138
2024-07-19,BND1,144.3514
2024-07-22,BND1,143.6523
2024-07-23,BND1,143.6836
2024-07-24,BND1,144.1516
2024-07-25,BND1,144.8719
2024-07-26,BND1,145.1162
2024-07-29,BND1,145.4046
2024-07-30,BND1,145.2139
2024-07-31,BND1,144.833
2024-08-01,BND1,145.136
2024-08-02,BND1,144.3691
2024-08-05,BND1,144.528
2024-08-06,BND1,145.2596
2024-08-07,BND1,145.32
2024-08-08,BND1,145.8709
2024-08-09,BND1,145.9114
2024-08-12,BND1,146.0416
2024-08-13,BND1,145.3956
2024-08-14,BND1,144.857
2024-08-15,BND1,144.8275
2024-08-16,BND1,144.9312
2024-08-19,BND1,145.0452
2024-08-20,BND1,145.8806
2024-08-21,BND1,146.0839
2024-08-22,BND1,145.955
2024-08-23,BND1,146.0865
2024-08-26,BND1,146.8477
2024-08-27,BND1,146.9388
2024-08-28,BND1,146.3581
2024-08-29,BND1,146.728
2024-08-30,BND1,146.794
2024-09-02,BND1,147.2783
2024-09-03,BND1,147.6057
2024-09-04,BND1,147.5722
2024-09-05,BND1,147.3819
2024-09-06,BND1,147.8399
2024-09-09,BND1,148.3976
2024-09-10,BND1,148.5028
2024-09-11,BND1,148.4176
2024-09-12,BND1,148.4438
2024-09-13,BND1,148.1937
2024-09-16,BND1,148.4262
2024-09-17,BND1,148.5423
2024-09-18,BND1,148.8001
2024-09-19,BND1,148.5726
2024-09-20,BND1,149.1462
2024-09-23,BND1,148.0911
2024-09-24,BND1,148.0319
2024-09-25,BND1,147.9886
2024-09-26,BND1,147.967
2024-09-27,BND1,148.2732
2024-09-30,BND1,148.3896
2024-10-01,BND1,148.578
2024-10-02,BND1,148.2261
2024-10-03,BND1,147.8115
2024-10-04,BND1,147.956
2024-10-07,BND1,148.7854
2024-10-08,BND1,148.8799
2024-10-09,BND1,148.6769
2024-10-10,BND1,148.7259
2024-10-11,BND1,148.64
2024-10-14,BND1,148.6064
2024-10-15,BND1,148.2526
2024-10-16,BND1,148.9109
2024-10-17,BND1,148.811
2024-10-18,BND1,148.238
2024-10-21,BND1,147.9379
2024-10-22,BND1,147.8624
2024-10-23,BND1,147.228
2024-10-24,BND1,147.2843
2024-10-25,BND1,147.4666
2024-10-28,BND1,147.1702
2024-10-29,BND1,146.832
2024-10-30,BND1,146.8517
2024-10-31,BND1,147.9479
2024-11-01,BND1,147.704
2024-11-04,BND1,148.5129
2024-11-05,BND1,149.1441
2024-11-06,BND1,149.3755
2024-11-07,BND1,149.0535
2024-11-08,BND1,149.0869
2024-11-11,BND1,149.2484
2024-11-12,BND1,148.6981
2024-11-13,BND1,149.9156
2024-11-14,BND1,149.5893
2024-11-15,BND1,149.6365
2024-11-18,BND1,149.9321
2024-11-19,BND1,150.1708
2024-11-20,BND1,150.6275
2024-11-21,BND1,150.2562
2024-11-22,BND1,150.5813
2024-11-25,BND1,150.921
2024-11-26,BND1,151.2506
2024-11-27,BND1,151.743
2024-11-28,BND1,152.4082
2024-11-29,BND1,152.5654
2024-12-02,BND1,152.3714
2024-12-03,BND1,152.6612
2024-12-04,BND1,151.994
2024-12-05,BND1,151.6809
2024-12-06,BND1,151.6798
2024-12-09,BND1,150.9431
2024-12-10,BND1,151.5024
2024-12-11,BND1,151.5009
2024-12-12,BND1,151.8456
2024-12-13,BND1,151.7885
2024-12-16,BND1,151.8344
2024-12-17,BND1,151.6254
2024-12-18,BND1,152.1438
2024-12-19,BND1,152.3613
2024-12-20,BND1,152.2567
2024-12-23,BND1,152.2829
2024-12-24,BND1,152.1022
2024-12-25,BND1,152.305
2024-12-26,BND1,151.8043
2024-12-27,BND1,150.999
2024-12-30,BND1,151.1343
2024-12-31,BND1,150.8147
2025-01-01,BND1,150.8667
2025-01-02,BND1,150.6424
2025-01-03,BND1,150.6898
2025-01-06,BND1,151.0651
2025-01-07,BND1,151.4861
2025-01-08,BND1,152.1573
2025-01-09,BND1,153.1006
2025-01-10,BND1,153.2553
2025-01-13,BND1,153.2482
2025-01-14,BND1,152.5064
2025-01-15,BND1,152.9724
2025-01-16,BND1,152.518
2025-01-17,BND1,152.9105
2025-01-20,BND1,153.5502
2025-01-21,BND1,153.6254
2025-01-22,BND1,153.6402
2025-01-23,BND1,153.5147
2025-01-24,BND1,153.9023
2025-01-27,BND1,153.7823
2025-01-28,BND1,153.9661
2025-01-29,BND1,154.8774
2025-01-30,BND1,154.833
2025-01-31,BND1,155.4206
2025-02-03,BND1,155.5599
2025-02-04,BND1,155.8075
2025-02-05,BND1,155.9105
2025-02-06,BND1,155.5903
2025-02-07,BND1,155.5625
2025-02-10,BND1,155.4277
2025-02-11,BND1,155.2991
2025-02-12,BND1,156.0002
2025-02-13,BND1,155.5817
2025-02-14,BND1,155.5256
2025-02-17,BND1,155.4013
2025-02-18,BND1,155.2598
2025-02-19,BND1,155.5478
2025-02-20,BND1,155.0787
2025-02-21,BND1,155.0776
2025-02-24,BND1,154.5442
2025-02-25,BND1,154.7942
2025-02-26,BND1,155.1841
2025-02-27,BND1,156.0796
2025-02-28,BND1,156.3001
2025-03-03,BND1,156.2139
2025-03-04,BND1,155.9585
2025-03-05,BND1,155.4672
2025-03-06,BND1,155.4342
2025-03-07,BND1,155.7118
2025-03-10,BND1,155.3954
2025-03-11,BND1,155.484
2025-03-12,BND1,155.6825
2025-03-13,BND1,155.4864
2025-03-14,BND1,155.5372
2025-03-17,BND1,155.3754
2025-03-18,BND1,155.8086
2025-03-19,BND1,156.1634
2025-03-20,BND1,155.9391
2025-03-21,BND1,154.9635
2025-03-24,BND1,154.6147
2025-03-25,BND1,154.3156
2025-03-26,BND1,154.0564
2025-03-27,BND1,153.9021
2025-03-28,BND1,154.0497
2025-03-31,BND1,153.8924
2025-04-01,BND1,154.447
2025-04-02,BND1,154.4983
2025-04-03,BND1,155.2233
2025-04-04,BND1,155.2116
2025-04-07,BND1,155.2503
2025-04-08,BND1,155.4833
2025-04-09,BND1,156.3007
2025-04-10,BND1,155.3456
2025-04-11,BND1,155.4519
2025-04-14,BND1,155.8243
2025-04-15,BND1,155.8495
2025-04-16,BND1,156.3292
2025-04-17,BND1,156.8036
2025-04-18,BND1,157.2243
2025-04-21,BND1,157.4993
2025-04-22,BND1,157.7245
2025-04-23,BND1,158.178
2025-04-24,BND1,158.5655
2025-04-25,BND1,158.1942
2025-04-28,BND1,158.3663
2025-04-29,BND1,158.9354
2025-04-30,BND1,158.9155
2025-05-01,BND1,159.1291
2025-05-02,BND1,159.3679
2025-05-05,BND1,159.2121
2025-05-06,BND1,158.7023
2025-05-07,BND1,159.0194
2025-05-08,BND1,158.682
2025-05-09,BND1,159.3686
2025-05-12,BND1,159.4099
2025-05-13,BND1,159.7767
2025-05-14,BND1,160.4202
2025-05-15,BND1,160.6141
2025-05-16,BND1,160.5649
2025-05-19,BND1,160.3509
2025-05-20,BND1,160.7651
2025-05-21,BND1,160.8644
2025-05-22,BND1,161.382
2025-05-23,BND1,161.0453
2025-05-26,BND1,161.4852
2025-05-27,BND1,161.4111
2025-05-28,BND1,161.9641
2025-05-29,BND1,162.1165
2025-05-30,BND1,162.4003
2025-06-02,BND1,162.0081
2025-06-03,BND1,162.5308
2025-06-04,BND1,162.5768
2025-06-05,BND1,162.0158
2025-06-06,BND1,162.7065
2025-06-09,BND1,162.5035
2025-06-10,BND1,162.0804
2025-06-11,BND1,161.4672
2025-06-12,BND1,161.542
2025-06-13,BND1,161.0675
2025-06-16,BND1,161.5798
2025-06-17,BND1,162.0491
2025-06-18,BND1,161.9645
2025-06-19,BND1,161.1163
2025-06-20,BND1,161.8026
2025-06-23,BND1,161.2122
2025-06-24,BND1,161.7762
2025-06-25,BND1,161.3231
2025-06-26,BND1,161.456
2025-06-27,BND1,162.7677
2025-06-30,BND1,163.2341
2025-07-01,BND1,164.0337
2025-07-02,BND1,164.1251
2025-07-03,BND1,164.3959
2025-07-04,BND1,164.5096
2025-07-07,BND1,164.7583
2025-07-08,BND1,165.2397
2025-07-09,BND1,165.4237
2025-07-10,BND1,165.5973
2025-07-11,BND1,165.7044
2025-07-14,BND1,165.163
2025-07-15,BND1,164.2329
2025-07-16,BND1,164.1156
2025-07-17,BND1,163.6185
2025-07-18,BND1,164.1312
2025-07-21,BND1,163.7759
2025-07-22,BND1,163.7791
2025-07-23,BND1,164.2962
2025-07-24,BND1,163.9192
2025-07-25,BND1,164.196
2025-07-28,BND1,164.929
2025-07-29,BND1,165.1601
2025-07-30,BND1,165.8302
2025-07-31,BND1,166.6338
2025-08-01,BND1,166.3824
2025-08-04,BND1,165.9694
2025-08-05,BND1,165.7874
2025-08-06,BND1,165.6582
2025-08-07,BND1,165.7064
2025-08-08,BND1,165.5119
2025-08-11,BND1,164.7013
2025-08-12,BND1,164.7114
2025-08-13,BND1,164.8999
2025-08-14,BND1,164.2421
2025-08-15,BND1,163.6311
2025-08-18,BND1,163.3389
2025-08-19,BND1,163.7915
2025-08-20,BND1,164.9351
